LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,T1718CAT1,T1718CAT2,T1718CAT3,T1718CAT4,T1718CAT5,T1718CAT1LA,T1718CAT2LA,T1718CAT3LA,T1718CAT4LA,T1718CAT5LA,T1819CAT1,T1819CAT2,T1819CAT3,T1819CAT4,T1819CAT5,T1819CAT1LA,T1819CAT2LA,T1819CAT3LA,T1819CAT4LA,T1819CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PT1718CAT1,PT1718CAT2,PT1718CAT3,PT1718CAT4,PT1718CAT5,PT1718CAT1LA,PT1718CAT2LA,PT1718CAT3LA,PT1718CAT4LA,PT1718CAT5LA,PT1819CAT1,PT1819CAT2,PT1819CAT3,PT1819CAT4,PT1819CAT5,PT1819CAT1LA,PT1819CAT2LA,PT1819CAT3LA,PT1819CAT4LA,PT1819CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
811,117695,Non-London,Nursery,53,0,Low,"9,161",228,"9,389","3,106",113,"2,515",379,845,17,85,0,129,119,12,"1,307","8,626","4,795",119,595,41,"7,538","4,806",88,310,54,"6,634","5,377",88,688,58,"7,438","5,953",47,600,65,"7,821",2781,48,365,11,3870,"3,036",13,3807,1263,11,"4,843",33,668,-   ,"6,839","4,942",30,555,52,"6,322","5,621",113,845,0,"8,626","5,642",22,689,71,"7,793",NA,-235,20,4,57,98%,2%,36%,1%,29%,4%,9%,0%,1%,0%,1%,1%,0%,14%,64%,2%,8%,1%,100%,NA,NA,NA,NA,NA,72%,1%,0%,4%,100%,NA,NA,NA,NA,NA,72%,1%,9%,0%,100%,NA,NA,NA,NA,NA,71%,0%,10%,0%,100%,NA,NA,NA,NA,NA,65%,1%,10%,0%,100%,NA,NA,NA,NA,NA,1%,-1%,2%,-1%,0%
811,117698,Non-London,Nursery,57,0,Low,"7,397",219,"7,615","2,484",24,"3,044",431,532,0,87,79,72,32,14,160,"6,959","4,816",131,490,83,"6,292","4,806",88,310,54,"6,634","6,529",57,611,104,"8,388","5,953",47,600,65,"7,821",3290,13,292,46,4046,"3,036",13,3863,1800,46,"4,498",28,408,71,"5,617","4,942",30,555,52,"6,322","5,528",24,532,79,"6,959","5,642",22,689,71,"7,793",301,93,46,-5,516,97%,3%,36%,0%,44%,6%,7%,0%,1%,1%,1%,0%,0%,2%,77%,2%,8%,1%,100%,NA,NA,NA,NA,NA,78%,1%,0%,4%,100%,NA,NA,NA,NA,NA,81%,0%,7%,1%,100%,NA,NA,NA,NA,NA,80%,0%,7%,1%,100%,NA,NA,NA,NA,NA,79%,0%,8%,1%,100%,NA,NA,NA,NA,NA,2%,-2%,0%,0%,0%
811,117699,Non-London,Nursery,39,0,Low,"10,829","1,208","12,037","4,612",-103,"3,743",733,"1,306",13,371,72,227,125,26,141,"11,267","4,647",57,766,46,"6,327","4,806",88,310,54,"6,634","4,114",20,589,34,"5,850","5,953",47,600,65,"7,821",2348,14,291,16,3055,"3,036",13,3156,1238,16,"5,756",36,786,50,"7,848","4,942",30,555,52,"6,322","8,355",-103,"1,306",72,"11,267","5,642",22,689,71,"7,793",NA,NA,NA,NA,NA,90%,10%,41%,-1%,33%,6%,11%,0%,3%,1%,2%,1%,0%,1%,73%,1%,12%,1%,100%,NA,NA,NA,NA,NA,70%,0%,0%,4%,100%,NA,NA,NA,NA,NA,77%,0%,10%,1%,100%,NA,NA,NA,NA,NA,73%,0%,10%,1%,100%,NA,NA,NA,NA,NA,74%,-1%,12%,1%,100%,NA,NA,NA,NA,NA,1%,-2%,0%,0%,0%
811,131416,Non-London,Nursery,60,0,Low,"6,921",316,"7,237","2,479",19,"2,649",346,482,0,80,70,133,32,7,87,"6,383","5,834",-41,454,62,"6,940","4,806",88,310,54,"6,634","6,820",37,553,71,"8,203","5,953",47,600,65,"7,821",3424,7,294,32,4120,"3,036",13,3791,1842,32,"4,814",5,442,53,"5,806","4,942",30,555,52,"6,322","5,128",19,482,70,"6,383","5,642",22,689,71,"7,793",79,122,12,0,381,96%,4%,39%,0%,42%,5%,7%,0%,1%,1%,2%,0%,0%,1%,84%,-1%,7%,1%,100%,NA,NA,NA,NA,NA,83%,0%,0%,1%,100%,NA,NA,NA,NA,NA,83%,0%,7%,1%,100%,NA,NA,NA,NA,NA,83%,0%,8%,1%,100%,NA,NA,NA,NA,NA,80%,0%,8%,1%,100%,NA,NA,NA,NA,NA,-4%,1%,1%,0%,0%
811,142135,Non-London,Pupil referral unit,95,49,High,"23,316",119,"23,436","7,471","2,028","4,441",623,"2,084",340,265,73,"3,467",491,"6,496",344,"28,125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40582,3009,4129,315,104670,"40,582","3,009",97516,15906,315,"9,707","2,025","2,123",36,"25,627","9,707","2,025","2,123",36,"25,627","11,912","2,028","2,084",73,"28,125","11,912","2,028","2,084",73,"28,125",NA,NA,NA,NA,NA,100%,1%,27%,9%,16%,3%,9%,2%,1%,0%,15%,2%,28%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39%,3%,4%,0%,100%,NA,NA,NA,NA,NA,38%,8%,8%,0%,100%,NA,NA,NA,NA,NA,42%,7%,7%,0%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,133480,Non-London,Primary,409,24,Medium,"5,118",89,"5,207","2,013",171,"1,081",1,"1,054",3,267,0,142,47,67,147,"4,995","3,013",114,917,0,"4,780","3,162",113,289,77,"4,729","3,044",101,984,0,"4,800","3,181",132,369,69,"4,930",3072,71,1076,0,4861,"3,176",126,4948,996,0,"3,068",102,"1,086",-   ,"4,977","3,252",173,321,83,"4,939","3,094",171,"1,054",0,"4,995","3,326",100,336,68,"4,995",NA,-15,-33,4,568,98%,2%,40%,3%,22%,0%,20%,0%,5%,0%,3%,1%,1%,3%,63%,2%,19%,0%,100%,NA,NA,NA,NA,NA,63%,2%,0%,3%,100%,NA,NA,NA,NA,NA,63%,1%,22%,0%,100%,NA,NA,NA,NA,NA,62%,2%,22%,0%,100%,NA,NA,NA,NA,NA,62%,3%,21%,0%,100%,NA,NA,NA,NA,NA,-1%,1%,2%,0%,0%
811,133481,Non-London,Primary,215,7,Low,"4,077",362,"4,439","2,106",58,709,272,395,195,197,67,90,95,80,154,"4,418","2,572",52,321,65,"3,929","2,853",122,253,72,"4,421",SUPP,98,321,66,"4,115","2,911",105,337,67,"4,493",2848,100,362,61,4466,"2,976",114,4506,722,61,"2,835",51,366,64,"4,499","3,054",115,351,70,"4,641","2,815",58,395,67,"4,418","3,145",111,375,72,"4,922",NA,NA,NA,NA,NA,92%,8%,48%,1%,16%,6%,9%,4%,4%,2%,2%,2%,2%,4%,65%,1%,8%,2%,100%,NA,NA,NA,NA,NA,63%,2%,3%,3%,100%,NA,NA,NA,NA,NA,64%,2%,8%,1%,100%,NA,NA,NA,NA,NA,63%,1%,8%,1%,100%,NA,NA,NA,NA,NA,64%,1%,9%,2%,100%,NA,NA,NA,NA,NA,-1%,0%,1%,0%,0%
811,133519,Non-London,Primary,64,39,High,"7,377",88,"7,465","2,879",310,"1,453",503,734,358,214,122,318,105,252,189,"7,437",SUPP,244,799,SUPP,"6,713","3,162",113,289,77,"4,729","5,003",290,"1,024",183,"8,990","3,181",132,369,69,"4,930",5050,320,967,146,8660,"3,176",126,7906,1506,146,"3,874",634,676,123,"6,988","3,442",208,676,123,"5,737","4,332",310,734,122,"7,437","3,675",182,487,93,"5,821",370,-128,101,-9,260,99%,1%,39%,4%,20%,7%,10%,5%,3%,2%,4%,1%,3%,3%,SUPP,4%,12%,SUPP,100%,NA,NA,NA,NA,NA,55%,3%,3%,4%,100%,NA,NA,NA,NA,NA,58%,4%,11%,2%,100%,NA,NA,NA,NA,NA,55%,9%,10%,2%,100%,NA,NA,NA,NA,NA,58%,4%,10%,2%,100%,NA,NA,NA,NA,NA,NA,0%,-2%,NA,0%
811,135700,Non-London,Primary,357,44,High,"5,775",160,"5,935","2,443",183,"1,049",320,340,238,131,153,273,147,200,111,"5,588","3,456",104,351,210,"5,432","3,661",78,244,105,"5,523","3,381",117,368,172,"5,291","3,690",97,694,86,"5,737",3229,201,347,138,5170,"3,521",131,5167,848,138,"3,003",208,293,135,"4,731","3,442",208,676,123,"5,737","3,492",183,340,153,"5,588","3,675",182,487,93,"5,821",331,-31,-46,-1,370,97%,3%,44%,3%,19%,5%,6%,4%,2%,3%,5%,3%,3%,2%,64%,2%,6%,4%,100%,NA,NA,NA,NA,NA,64%,2%,4%,3%,100%,NA,NA,NA,NA,NA,62%,4%,7%,3%,100%,NA,NA,NA,NA,NA,63%,4%,6%,3%,100%,NA,NA,NA,NA,NA,62%,3%,6%,3%,100%,NA,NA,NA,NA,NA,-2%,1%,0%,-1%,0%
811,117823,Non-London,Primary,138,18,Low,"4,818",166,"4,985","2,281",98,823,323,466,215,162,91,177,24,115,150,"4,926","3,426",233,505,100,"5,344","2,853",122,253,72,"4,421",SUPP,166,505,86,"5,045","3,181",132,369,69,"4,930",3152,165,489,86,5039,"3,176",126,4710,843,86,"3,122",113,463,96,"5,122","3,054",115,351,70,"4,641","3,104",98,466,91,"4,926","3,145",111,375,72,"4,922",356,9,227,0,713,97%,3%,46%,2%,17%,7%,9%,4%,3%,2%,4%,1%,2%,3%,64%,4%,9%,2%,100%,NA,NA,NA,NA,NA,64%,3%,4%,2%,100%,NA,NA,NA,NA,NA,63%,3%,10%,2%,100%,NA,NA,NA,NA,NA,61%,2%,9%,2%,100%,NA,NA,NA,NA,NA,63%,2%,9%,2%,100%,NA,NA,NA,NA,NA,-1%,-2%,0%,0%,0%
