LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1314CAT1,T1314CAT2,T1314CAT3,T1314CAT4,T1314CAT5,T1314CAT1LA,T1314CAT2LA,T1314CAT3LA,T1314CAT4LA,T1314CAT5LA,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,T1718CAT1,T1718CAT2,T1718CAT3,T1718CAT4,T1718CAT5,T1718CAT1LA,T1718CAT2LA,T1718CAT3LA,T1718CAT4LA,T1718CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1314CAT1,PT1314CAT2,PT1314CAT3,PT1314CAT4,PT1314CAT5,PT1314CAT1LA,PT1314CAT2LA,PT1314CAT3LA,PT1314CAT4LA,PT1314CAT5LA,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PT1718CAT1,PT1718CAT2,PT1718CAT3,PT1718CAT4,PT1718CAT5,PT1718CAT1LA,PT1718CAT2LA,PT1718CAT3LA,PT1718CAT4LA,PT1718CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
811,117851,Non-London,Primary,176,12.5,Low,"4,411",89,"4,500","2,209",133,734,337,299,187,119,108,117,34,111,131,"4,519","3,158",187,291,112,"4,939","2,773",119,321,71,"4,137","2,725",147,309,98,"4,434","2,853",122,253,72,"4,421","2,647",313,305,105,"4,677","2,911",105,337,67,"4,493","2,893",222,360,108,"4,881","2,976",114,"4,540",742,108,"2,942",133,299,108,"4,519","3,054",115,68,734,108,-216,-54,8,-4,-420,98%,2%,49%,3%,16%,7%,7%,4%,3%,2%,3%,1%,2%,3%,64%,4%,6%,2%,100%,NA,NA,NA,NA,NA,61%,3%,7%,2%,100%,NA,NA,NA,NA,NA,57%,7%,4%,4%,100%,NA,NA,NA,NA,NA,59%,5%,7%,2%,100%,NA,NA,NA,NA,NA,65%,3%,7%,2%,100%,NA,NA,NA,NA,NA,1%,-1%,1%,0%,0%
811,117852,Non-London,Primary,241,9.7,Low,"4,359",189,"4,549","2,130",247,783,290,323,185,146,76,153,76,77,137,"4,623","2,474",73,300,90,"3,703","2,773",119,321,71,"4,137","2,631",73,298,72,"3,839","2,853",122,253,72,"4,421","2,588",82,292,63,"3,907","2,911",105,337,67,"4,493","2,479",116,260,57,"3,742","2,976",114,"3,740",570,57,"2,913",247,323,76,"4,623","3,054",115,106,783,76,439,174,23,-14,920,96%,4%,46%,5%,17%,6%,7%,4%,3%,2%,3%,2%,2%,3%,67%,2%,8%,2%,100%,NA,NA,NA,NA,NA,69%,2%,8%,2%,100%,NA,NA,NA,NA,NA,67%,2%,3%,3%,100%,NA,NA,NA,NA,NA,66%,3%,7%,2%,100%,NA,NA,NA,NA,NA,63%,5%,7%,2%,100%,NA,NA,NA,NA,NA,-4%,3%,-1%,0%,0%
811,117853,Non-London,Primary,526,17.7,Low,"4,173",150,"4,323","2,014",82,"1,121",211,231,164,104,60,143,54,49,106,"4,340","2,825",111,196,72,"3,833","2,773",119,321,71,"4,137","2,837",73,201,58,"3,931","2,853",122,253,72,"4,421","2,977",112,228,56,"4,162","2,911",105,337,67,"4,493","3,344",65,240,41,"4,483","2,976",114,"4,331","1,173",41,"3,135",82,231,60,"4,340","3,054",115,142,"1,121",60,310,-29,35,-12,507,97%,3%,46%,2%,26%,5%,5%,4%,2%,1%,3%,1%,1%,2%,74%,3%,5%,2%,100%,NA,NA,NA,NA,NA,72%,2%,5%,1%,100%,NA,NA,NA,NA,NA,71%,3%,3%,3%,100%,NA,NA,NA,NA,NA,75%,1%,5%,1%,100%,NA,NA,NA,NA,NA,72%,2%,5%,1%,100%,NA,NA,NA,NA,NA,-2%,-1%,0%,-1%,0%
811,117854,Non-London,Primary,212,9,Low,"4,071",532,"4,603","2,106",120,706,244,235,369,113,69,259,125,99,126,"4,571","2,556",68,232,71,"3,666","2,773",119,321,71,"4,137","2,603",91,272,78,"3,858","2,853",122,253,72,"4,421","2,585",96,221,73,"3,968","2,911",105,337,67,"4,493","2,853",45,227,54,"4,245","2,976",114,"4,412",672,54,"2,812",120,235,69,"4,571","3,054",115,415,706,69,256,52,3,-2,905,88%,12%,46%,3%,15%,5%,5%,8%,2%,2%,6%,3%,2%,3%,70%,2%,6%,2%,100%,NA,NA,NA,NA,NA,67%,2%,7%,2%,100%,NA,NA,NA,NA,NA,65%,2%,6%,5%,100%,NA,NA,NA,NA,NA,67%,1%,5%,1%,100%,NA,NA,NA,NA,NA,62%,3%,5%,2%,100%,NA,NA,NA,NA,NA,-8%,1%,-1%,0%,0%
811,117855,Non-London,Primary,167,6,Low,"4,289",174,"4,463","2,186",106,833,184,403,248,107,81,122,104,130,128,"4,632","3,231",43,311,103,"4,586","2,773",119,321,71,"4,137",SUPP,129,392,95,"4,992","2,853",122,253,72,"4,421","2,913",54,345,95,"4,474","2,911",105,337,67,"4,493","3,127",106,360,74,"4,696","2,976",114,"4,966",855,74,"3,020",106,403,81,"4,632","3,054",115,183,833,81,-211,63,92,-22,46,96%,4%,47%,2%,18%,4%,9%,5%,2%,2%,3%,2%,3%,3%,SUPP,1%,7%,2%,100%,NA,NA,NA,NA,NA,SUPP,3%,8%,2%,100%,NA,NA,NA,NA,NA,65%,1%,5%,4%,100%,NA,NA,NA,NA,NA,67%,2%,8%,2%,100%,NA,NA,NA,NA,NA,65%,2%,9%,2%,100%,NA,NA,NA,NA,NA,NA,1%,2%,0%,0%
811,117858,Non-London,Primary,272,11.8,Low,"4,071",424,"4,495","2,184",138,623,234,256,427,121,77,130,58,125,113,"4,486","2,674",99,218,68,"3,824","2,773",119,321,71,"4,137","2,746",105,230,76,"3,883","2,853",122,253,72,"4,421","2,876",63,214,64,"4,588","2,911",105,337,67,"4,493","3,023",80,241,49,"4,654","2,976",114,"4,548",665,49,"2,807",138,256,77,"4,486","3,054",115,508,623,77,133,39,38,9,662,91%,9%,49%,3%,14%,5%,6%,10%,3%,2%,3%,1%,3%,3%,70%,3%,6%,2%,100%,NA,NA,NA,NA,NA,71%,3%,6%,2%,100%,NA,NA,NA,NA,NA,62%,1%,12%,4%,100%,NA,NA,NA,NA,NA,65%,2%,5%,1%,100%,NA,NA,NA,NA,NA,63%,3%,6%,2%,100%,NA,NA,NA,NA,NA,-7%,0%,0%,0%,0%
811,117859,Non-London,Primary,89,6.5,Low,"5,530",344,"5,874","2,524",129,890,259,611,158,463,104,169,103,224,115,"5,750","2,828",133,515,96,"4,690","2,773",119,321,71,"4,137","2,928",28,564,73,"5,140","2,853",122,253,72,"4,421","3,100",129,478,73,"5,497","2,911",105,337,67,"4,493","2,897",126,358,78,"4,938","2,976",114,"4,883",804,78,"3,414",129,611,104,"5,750","3,054",115,307,890,104,586,-4,96,8,"1,060",94%,6%,44%,2%,15%,5%,11%,3%,8%,2%,3%,2%,4%,2%,60%,3%,11%,2%,100%,NA,NA,NA,NA,NA,57%,1%,11%,1%,100%,NA,NA,NA,NA,NA,56%,2%,3%,5%,100%,NA,NA,NA,NA,NA,59%,3%,7%,2%,100%,NA,NA,NA,NA,NA,59%,2%,11%,2%,100%,NA,NA,NA,NA,NA,-1%,-1%,0%,0%,0%
811,117860,Non-London,Primary,127,20.5,Medium,"4,620",141,"4,762","1,938",32,"1,229",381,279,336,193,84,169,87,56,133,"4,918","3,396",118,408,124,"5,432","2,773",119,321,71,"4,137","3,336",156,413,100,"5,456","2,853",122,253,72,"4,421","3,299",91,385,102,"5,424","2,911",105,337,67,"4,493","3,440",51,346,97,"5,558","2,976",114,"5,736","1,315",97,"3,167",32,279,84,"4,918","3,252",173,182,"1,229",84,-229,-86,-129,-40,-514,97%,3%,39%,1%,25%,8%,6%,7%,4%,2%,3%,2%,1%,3%,63%,2%,8%,2%,100%,NA,NA,NA,NA,NA,61%,3%,8%,2%,100%,NA,NA,NA,NA,NA,61%,2%,4%,5%,100%,NA,NA,NA,NA,NA,62%,1%,6%,2%,100%,NA,NA,NA,NA,NA,64%,1%,6%,2%,100%,NA,NA,NA,NA,NA,1%,-1%,-2%,0%,0%
811,117861,Non-London,Primary,70,10.5,Low,"5,399",231,"5,630","2,967",62,801,280,400,181,237,67,195,60,166,181,"5,597","4,312",76,385,62,"6,096","2,773",119,321,71,"4,137","3,965",137,383,61,"5,815","2,853",122,253,72,"4,421","4,168",31,414,65,"5,966","2,911",105,337,67,"4,493","3,625",112,402,57,"5,480","2,976",114,"5,536","1,001",57,"3,768",62,400,67,"5,597","3,054",115,202,801,67,-544,-14,15,5,-499,96%,4%,53%,1%,14%,5%,7%,3%,4%,1%,3%,1%,3%,3%,SUPP,1%,6%,1%,100%,NA,NA,NA,NA,NA,68%,2%,7%,1%,100%,NA,NA,NA,NA,NA,70%,1%,3%,4%,100%,NA,NA,NA,NA,NA,66%,2%,7%,1%,100%,NA,NA,NA,NA,NA,67%,1%,7%,1%,100%,NA,NA,NA,NA,NA,NA,0%,1%,0%,0%
811,117862,Non-London,Primary,62,17.5,Low,"7,022",137,"7,159","2,914",186,"1,096",313,739,197,399,79,165,234,203,510,"7,033","3,430",78,655,60,"5,248","2,773",119,321,71,"4,137","3,031",270,660,68,"5,159","2,853",122,253,72,"4,421","3,064",261,654,60,"5,132","2,911",105,337,67,"4,493","3,330",76,696,77,"6,081","2,976",114,"6,114",779,77,"4,010",186,739,79,"7,033","3,054",115,249,"1,096",79,580,108,84,19,"1,785",98%,2%,41%,3%,16%,4%,11%,3%,6%,1%,2%,3%,3%,7%,65%,1%,12%,1%,100%,NA,NA,NA,NA,NA,59%,5%,13%,1%,100%,NA,NA,NA,NA,NA,60%,5%,3%,2%,100%,NA,NA,NA,NA,NA,55%,1%,11%,1%,100%,NA,NA,NA,NA,NA,57%,3%,11%,1%,100%,NA,NA,NA,NA,NA,-8%,2%,-1%,0%,0%
