LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1213CAT1,T1213CAT2,T1213CAT3,T1213CAT4,T1213CAT5,T1213CAT1LA,T1213CAT2LA,T1213CAT3LA,T1213CAT4LA,T1213CAT5LA,T1314CAT1,T1314CAT2,T1314CAT3,T1314CAT4,T1314CAT5,T1314CAT1LA,T1314CAT2LA,T1314CAT3LA,T1314CAT4LA,T1314CAT5LA,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1213CAT1,PT1213CAT2,PT1213CAT3,PT1213CAT4,PT1213CAT5,PT1213CAT1LA,PT1213CAT2LA,PT1213CAT3LA,PT1213CAT4LA,PT1213CAT5LA,PT1314CAT1,PT1314CAT2,PT1314CAT3,PT1314CAT4,PT1314CAT5,PT1314CAT1LA,PT1314CAT2LA,PT1314CAT3LA,PT1314CAT4LA,PT1314CAT5LA,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
811,117840,Non-London,Primary,471,14,Low,"3,811",130,"3,941","2,013",89,775,224,252,23,109,40,218,88,81,106,"4,019",2487,114,228,67,3677,2795,119,314,71,4143,2543,150,241,71,3722,2773,119,321,71,4137,"2,613",166,244,76,"3,770","2,853",122,253,72,"4,421","2,657",119,231,56,"3,845","2,911",105,337,67,"4,493",2787,89,252,40,4019,"2,976",114,3941,775,40,300,-25,24,-27,342,97%,3%,50%,2%,19%,6%,6%,1%,3%,1%,5%,2%,2%,3%,68%,3%,6%,2%,100%,NA,NA,NA,NA,NA,68%,4%,6%,2%,100%,NA,NA,NA,NA,NA,69%,4%,6%,2%,100%,NA,NA,NA,NA,NA,69%,3%,0%,5%,100%,NA,NA,NA,NA,NA,69%,2%,6%,1%,100%,NA,NA,NA,NA,NA,1%,-1%,0%,-1%,0%
811,117841,Non-London,Primary,97,3.1,Low,"5,020",79,"5,099","2,858",175,683,292,399,167,191,78,65,87,166,177,"5,337",2978,288,315,72,4691,2795,119,314,71,4143,2951,133,312,86,4354,2773,119,321,71,4137,"3,035",121,362,82,"4,645","2,853",122,253,72,"4,421","3,181",107,350,66,"4,825","2,911",105,337,67,"4,493",3541,175,399,78,5337,"2,976",114,5099,683,78,563,-113,84,6,646,98%,2%,54%,3%,13%,5%,7%,3%,4%,1%,1%,2%,3%,3%,63%,6%,7%,2%,100%,NA,NA,NA,NA,NA,SUPP,3%,7%,2%,100%,NA,NA,NA,NA,NA,65%,3%,8%,2%,100%,NA,NA,NA,NA,NA,66%,2%,5%,1%,100%,NA,NA,NA,NA,NA,66%,3%,7%,1%,100%,NA,NA,NA,NA,NA,3%,-3%,0%,-1%,0%
811,117842,Non-London,Primary,413,3.4,Low,"3,644",122,"3,765","1,953",66,608,326,275,93,74,49,91,58,81,88,"3,762",2420,57,286,54,3321,2795,119,314,71,4143,2519,27,276,65,3443,2773,119,321,71,4137,"2,392",44,259,62,"3,477","2,853",122,253,72,"4,421","2,520",69,263,66,"3,682","2,911",105,337,67,"4,493",2561,66,275,49,3762,"2,976",114,3765,608,49,141,9,-11,-5,441,97%,3%,52%,2%,16%,9%,7%,2%,2%,1%,2%,2%,2%,2%,73%,2%,9%,2%,100%,NA,NA,NA,NA,NA,73%,1%,8%,2%,100%,NA,NA,NA,NA,NA,69%,1%,7%,2%,100%,NA,NA,NA,NA,NA,68%,2%,2%,2%,100%,NA,NA,NA,NA,NA,68%,2%,7%,1%,100%,NA,NA,NA,NA,NA,-5%,0%,-2%,-1%,0%
811,117844,Non-London,Primary,291,3.5,Low,"3,518",148,"3,666","1,536",207,572,187,226,150,144,57,148,29,79,213,"3,547",2386,265,312,70,3692,2795,119,314,71,4143,2473,222,368,75,4058,2773,119,321,71,4137,"2,368",107,336,61,"3,695","2,853",122,253,72,"4,421","2,501",162,239,88,"3,886","2,911",105,337,67,"4,493",2107,207,226,57,3547,"2,976",114,3666,572,57,-279,-58,-86,-13,-145,96%,4%,43%,6%,16%,5%,6%,4%,4%,2%,4%,1%,2%,6%,65%,7%,8%,2%,100%,NA,NA,NA,NA,NA,61%,5%,9%,2%,100%,NA,NA,NA,NA,NA,64%,3%,9%,2%,100%,NA,NA,NA,NA,NA,64%,4%,5%,3%,100%,NA,NA,NA,NA,NA,59%,6%,6%,2%,100%,NA,NA,NA,NA,NA,-6%,-1%,-2%,0%,0%
811,117851,Non-London,Primary,166,11.4,Low,"4,472",68,"4,540","2,151",222,742,387,360,216,167,108,155,83,168,121,"4,881",2691,130,226,101,3973,2795,119,314,71,4143,3158,187,291,112,4939,2773,119,321,71,4137,"2,725",147,309,98,"4,434","2,853",122,253,72,"4,421","2,647",313,305,105,"4,677","2,911",105,337,67,"4,493",2893,222,360,108,4881,"2,976",114,4540,742,108,202,92,134,7,908,99%,1%,44%,5%,15%,8%,7%,4%,3%,2%,3%,2%,3%,2%,68%,3%,6%,3%,100%,NA,NA,NA,NA,NA,64%,4%,6%,2%,100%,NA,NA,NA,NA,NA,61%,3%,7%,2%,100%,NA,NA,NA,NA,NA,57%,7%,4%,4%,100%,NA,NA,NA,NA,NA,59%,5%,7%,2%,100%,NA,NA,NA,NA,NA,-9%,2%,1%,-1%,0%
811,117852,Non-London,Primary,296,8.1,Low,"3,634",106,"3,740","1,909",116,570,219,260,133,116,57,118,68,72,105,"3,742",2415,94,285,107,3525,2795,119,314,71,4143,2474,73,300,90,3703,2773,119,321,71,4137,"2,631",73,298,72,"3,839","2,853",122,253,72,"4,421","2,588",82,292,63,"3,907","2,911",105,337,67,"4,493",2479,116,260,57,3742,"2,976",114,3740,570,57,64,22,-25,-50,217,97%,3%,51%,3%,15%,6%,7%,4%,3%,2%,3%,2%,2%,3%,68%,3%,8%,3%,100%,NA,NA,NA,NA,NA,67%,2%,8%,2%,100%,NA,NA,NA,NA,NA,69%,2%,8%,2%,100%,NA,NA,NA,NA,NA,67%,2%,3%,3%,100%,NA,NA,NA,NA,NA,66%,3%,7%,2%,100%,NA,NA,NA,NA,NA,-2%,0%,-1%,-1%,0%
811,117853,Non-London,Primary,493,13.6,Low,"4,189",142,"4,331","2,171",65,"1,173",190,240,159,106,41,138,38,63,98,"4,483",2640,104,176,56,3551,2795,119,314,71,4143,2825,111,196,72,3833,2773,119,321,71,4137,"2,837",73,201,58,"3,931","2,853",122,253,72,"4,421","2,977",112,228,56,"4,162","2,911",105,337,67,"4,493",3344,65,240,41,4483,"2,976",114,4331,1173,41,704,-39,64,-15,932,97%,3%,48%,1%,26%,4%,5%,4%,2%,1%,3%,1%,1%,2%,74%,3%,5%,2%,100%,NA,NA,NA,NA,NA,74%,3%,5%,2%,100%,NA,NA,NA,NA,NA,72%,2%,5%,1%,100%,NA,NA,NA,NA,NA,71%,3%,3%,3%,100%,NA,NA,NA,NA,NA,75%,1%,5%,1%,100%,NA,NA,NA,NA,NA,1%,-2%,0%,-1%,0%
811,117854,Non-London,Primary,202,14.9,Low,"3,997",415,"4,412","2,181",45,672,245,227,233,117,54,251,34,66,121,"4,245",2639,75,208,80,3662,2795,119,314,71,4143,2556,68,232,71,3666,2773,119,321,71,4137,"2,603",91,272,78,"3,858","2,853",122,253,72,"4,421","2,585",96,221,73,"3,968","2,911",105,337,67,"4,493",2853,45,227,54,4245,"2,976",114,4412,672,54,214,-30,19,-26,583,91%,9%,51%,1%,16%,6%,5%,5%,3%,1%,6%,1%,2%,3%,72%,2%,6%,2%,100%,NA,NA,NA,NA,NA,70%,2%,6%,2%,100%,NA,NA,NA,NA,NA,67%,2%,7%,2%,100%,NA,NA,NA,NA,NA,65%,2%,6%,5%,100%,NA,NA,NA,NA,NA,67%,1%,5%,1%,100%,NA,NA,NA,NA,NA,-5%,-1%,-1%,-1%,0%
811,117855,Non-London,Primary,150,8.7,Low,"4,784",183,"4,966","2,272",106,855,209,360,254,123,74,134,104,108,98,"4,696",3071,63,303,97,4280,2795,119,314,71,4143,3231,43,311,103,4586,2773,119,321,71,4137,SUPP,129,392,95,"4,992","2,853",122,253,72,"4,421","2,913",54,345,95,"4,474","2,911",105,337,67,"4,493",3127,106,360,74,4696,"2,976",114,4966,855,74,56,43,57,-23,416,96%,4%,48%,2%,18%,4%,8%,5%,3%,2%,3%,2%,2%,2%,72%,1%,7%,2%,100%,NA,NA,NA,NA,NA,SUPP,1%,7%,2%,100%,NA,NA,NA,NA,NA,SUPP,3%,8%,2%,100%,NA,NA,NA,NA,NA,65%,1%,5%,4%,100%,NA,NA,NA,NA,NA,67%,2%,8%,2%,100%,NA,NA,NA,NA,NA,-5%,1%,1%,0%,0%
811,117858,Non-London,Primary,262,9.2,Low,"4,040",508,"4,548","2,358",80,665,262,241,467,124,49,147,55,100,106,"4,654",2542,103,205,57,3599,2795,119,314,71,4143,2674,99,218,68,3824,2773,119,321,71,4137,"2,746",105,230,76,"3,883","2,853",122,253,72,"4,421","2,876",63,214,64,"4,588","2,911",105,337,67,"4,493",3023,80,241,49,4654,"2,976",114,4548,665,49,481,-23,36,-8,1055,89%,11%,51%,2%,14%,6%,5%,10%,3%,1%,3%,1%,2%,2%,71%,3%,6%,2%,100%,NA,NA,NA,NA,NA,70%,3%,6%,2%,100%,NA,NA,NA,NA,NA,71%,3%,6%,2%,100%,NA,NA,NA,NA,NA,62%,1%,12%,4%,100%,NA,NA,NA,NA,NA,65%,2%,5%,1%,100%,NA,NA,NA,NA,NA,-6%,-1%,-1%,-1%,0%
