LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1112CAT1,T1112CAT2,T1112CAT3,T1112CAT4,T1112CAT5,T1112CAT1LA,T1112CAT2LA,T1112CAT3LA,T1112CAT4LA,T1112CAT5LA,T1213CAT1,T1213CAT2,T1213CAT3,T1213CAT4,T1213CAT5,T1213CAT1LA,T1213CAT2LA,T1213CAT3LA,T1213CAT4LA,T1213CAT5LA,T1314CAT1,T1314CAT2,T1314CAT3,T1314CAT4,T1314CAT5,T1314CAT1LA,T1314CAT2LA,T1314CAT3LA,T1314CAT4LA,T1314CAT5LA,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1112CAT1,PT1112CAT2,PT1112CAT3,PT1112CAT4,PT1112CAT5,PT1112CAT1LA,PT1112CAT2LA,PT1112CAT3LA,PT1112CAT4LA,PT1112CAT5LA,PT1213CAT1,PT1213CAT2,PT1213CAT3,PT1213CAT4,PT1213CAT5,PT1213CAT1LA,PT1213CAT2LA,PT1213CAT3LA,PT1213CAT4LA,PT1213CAT5LA,PT1314CAT1,PT1314CAT2,PT1314CAT3,PT1314CAT4,PT1314CAT5,PT1314CAT1LA,PT1314CAT2LA,PT1314CAT3LA,PT1314CAT4LA,PT1314CAT5LA,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
811,117695,Non-London,Nursery,52.5,0,Low,"7,318",200,"7,518","2,814",88,"2,563",377,688,13,125,58,320,112,30,251,"7,438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,795",119,595,41,"7,538","4,806",88,310,54,"6,634","5,377",88,688,58,"7,438","5,953",47,600,65,"7,821",NA,NA,NA,NA,NA,97%,3%,38%,1%,34%,5%,9%,0%,2%,1%,4%,2%,0%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64%,2%,8%,1%,100%,NA,NA,NA,NA,NA,72%,1%,0%,4%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,117698,Non-London,Nursery,47.5,0,Low,"7,335",896,"8,230","2,745",57,"3,784",381,611,-41,140,104,336,52,15,204,"8,388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,816",131,490,83,"6,292","4,806",88,310,54,"6,634","6,529",57,611,104,"8,388","5,953",47,600,65,"7,821",NA,NA,NA,NA,NA,89%,11%,33%,1%,45%,5%,7%,0%,2%,1%,4%,1%,0%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77%,2%,8%,1%,100%,NA,NA,NA,NA,NA,78%,1%,0%,4%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,117699,Non-London,Nursery,73.5,0,Low,"5,525",604,"6,129","1,956",20,"2,158",300,589,0,165,34,208,332,22,66,"5,850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,647",57,766,46,"6,327","4,806",88,310,54,"6,634","4,114",20,589,34,"5,850","5,953",47,600,65,"7,821",NA,NA,NA,NA,NA,90%,10%,33%,0%,37%,5%,10%,0%,3%,1%,4%,6%,0%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73%,1%,12%,1%,100%,NA,NA,NA,NA,NA,70%,0%,0%,4%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,131416,Non-London,Nursery,46.5,0,Low,"7,149",986,"8,135","2,972",37,"3,848",338,553,2,114,71,43,91,21,113,"8,203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,834",-41,454,62,"6,940","4,806",88,310,54,"6,634","6,820",37,553,71,"8,203","5,953",47,600,65,"7,821",NA,NA,NA,NA,NA,88%,12%,36%,0%,47%,4%,7%,0%,1%,1%,1%,1%,0%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84%,-1%,7%,1%,100%,NA,NA,NA,NA,NA,83%,0%,0%,1%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,133480,Non-London,Primary,412,29.1,Medium,"4,847",36,"4,883","2,033",101,"1,011",66,984,3,178,0,135,80,75,135,"4,800",2769,100,648,0,4176,3054,119,583,0,4480,2993,70,664,0,4384,3467,88,557,0,4838,SUPP,75,841,0,4701,3225,132,326,70,4746,"3,013",114,917,0,"4,780","3,162",113,289,77,"4,729","3,044",101,984,0,"4,800","3,181",132,369,69,"4,930",275,1,336,0,624,99%,1%,42%,2%,21%,1%,21%,0%,4%,0%,3%,2%,2%,3%,66%,2%,16%,0%,100%,NA,NA,NA,NA,NA,68%,2%,15%,0%,100%,NA,NA,NA,NA,NA,66%,2%,18%,0%,100%,NA,NA,NA,NA,NA,63%,2%,19%,0%,100%,NA,NA,NA,NA,NA,63%,2%,0%,3%,100%,NA,NA,NA,NA,NA,-3%,0%,-16%,3%,0%
811,133481,Non-London,Primary,209,6.2,Low,"3,998",186,"4,184",SUPP,98,SUPP,232,321,143,175,66,121,78,108,159,"4,115",2517,87,250,67,3641,2717,144,314,67,4125,2590,69,273,70,3679,2795,119,314,71,4143,SUPP,42,293,61,3625,2773,119,321,71,4137,"2,572",52,321,65,"3,929","2,853",122,253,72,"4,421",SUPP,98,321,66,"4,115","2,911",105,337,67,"4,493",SUPP,11,71,-1,474,96%,4%,48%,2%,15%,6%,8%,3%,4%,2%,3%,2%,3%,4%,69%,2%,7%,2%,100%,NA,NA,NA,NA,NA,70%,2%,7%,2%,100%,NA,NA,NA,NA,NA,SUPP,1%,8%,2%,100%,NA,NA,NA,NA,NA,65%,1%,8%,2%,100%,NA,NA,NA,NA,NA,SUPP,2%,3%,3%,100%,NA,NA,NA,NA,NA,SUPP,0%,-4%,1%,0%
811,133519,Non-London,Primary,49,32.7,Medium,"8,553",223,"8,776","3,523",290,"1,480",637,"1,024",277,267,183,324,183,418,383,"8,990",3334,344,483,70,5678,3314,174,317,84,4855,3522,361,552,115,5817,3325,159,388,102,4927,SUPP,338,678,122,6068,3225,132,326,70,4746,SUPP,244,799,SUPP,"6,713","3,162",113,289,77,"4,729","5,003",290,"1,024",183,"8,990","3,181",132,369,69,"4,930",1669,-54,541,113,3312,97%,3%,39%,3%,16%,7%,11%,3%,3%,2%,4%,2%,5%,4%,59%,6%,9%,1%,100%,NA,NA,NA,NA,NA,61%,6%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,6%,11%,2%,100%,NA,NA,NA,NA,NA,SUPP,4%,12%,SUPP,100%,NA,NA,NA,NA,NA,55%,3%,3%,4%,100%,NA,NA,NA,NA,NA,-4%,-3%,-6%,3%,0%
811,135700,Non-London,Primary,304.5,43.3,High,"4,952",271,"5,223","2,568",117,813,378,368,216,130,172,161,96,263,10,"5,291",3308,276,351,142,5369,3314,174,317,84,4855,3291,191,304,157,4979,3467,88,557,0,4838,3059,151,315,190,4837,3522,95,843,0,5114,"3,456",104,351,210,"5,432","3,661",78,244,105,"5,523","3,381",117,368,172,"5,291","3,690",97,694,86,"5,737",73,-159,17,30,-78,95%,5%,49%,2%,15%,7%,7%,4%,2%,3%,3%,2%,5%,0%,62%,5%,7%,3%,100%,NA,NA,NA,NA,NA,66%,4%,6%,3%,100%,NA,NA,NA,NA,NA,63%,3%,7%,4%,100%,NA,NA,NA,NA,NA,64%,2%,6%,4%,100%,NA,NA,NA,NA,NA,64%,2%,4%,3%,100%,NA,NA,NA,NA,NA,2%,-3%,-3%,0%,0%
811,117823,Non-London,Primary,115.5,20.6,Medium,"5,079",56,"5,135",SUPP,166,SUPP,293,505,206,144,86,119,19,133,148,"5,045",3013,164,423,93,4626,2717,144,314,67,4125,3122,223,430,111,4722,2795,119,314,71,4143,3137,177,415,110,4787,2773,119,321,71,4137,"3,426",233,505,100,"5,344","2,853",122,253,72,"4,421",SUPP,166,505,86,"5,045","3,181",132,369,69,"4,930",SUPP,2,82,-7,419,99%,1%,47%,3%,17%,6%,10%,4%,3%,2%,2%,0%,3%,3%,65%,4%,9%,2%,100%,NA,NA,NA,NA,NA,66%,5%,9%,2%,100%,NA,NA,NA,NA,NA,66%,4%,9%,2%,100%,NA,NA,NA,NA,NA,64%,4%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,3%,4%,2%,100%,NA,NA,NA,NA,NA,SUPP,-1%,-5%,0%,0%
811,117824,Non-London,Primary,67,0,Low,"5,661",588,"6,249",SUPP,199,SUPP,809,548,147,360,50,294,43,266,62,"5,984",3149,117,507,51,4738,2717,144,314,67,4125,2947,60,533,54,4644,2795,119,314,71,4143,2801,174,571,47,4445,2773,119,321,71,4137,SUPP,302,747,SUPP,"6,119","2,853",122,253,72,"4,421",SUPP,199,548,50,"5,984","2,911",105,337,67,"4,493",SUPP,82,41,-1,1246,91%,9%,37%,3%,16%,14%,9%,2%,6%,1%,5%,1%,4%,1%,66%,2%,11%,1%,100%,NA,NA,NA,NA,NA,63%,1%,11%,1%,100%,NA,NA,NA,NA,NA,SUPP,4%,13%,1%,100%,NA,NA,NA,NA,NA,SUPP,5%,12%,SUPP,100%,NA,NA,NA,NA,NA,SUPP,3%,2%,5%,100%,NA,NA,NA,NA,NA,SUPP,1%,-9%,4%,0%
